id;identifiant;nom_responsable;raison_sociale;telephone_1;telephone_2;email;logo;description;statut
1;bleu;Vélocar diplomate;paiement tomate ronron;que Marché;que Poisson facture;Capucine.Moreau59@gmail.com;ratione;facture choisir Diesel;ACTIF
2;Artisanal ah Maison;Minispaces Suède;croâ Saucisses puisque;Est comprendre;Est Boulevard Centre;Alpinien87@hotmail.fr;Lepic retrait;impressionner;ACTIF
3;élaborer;soit Ouest;Bébé assez;sitôt sous nam;kenyan Jamaïque;Ysaline.Remy@yahoo.fr;Rock;Jazz;ACTIF
4;hollandais de Vélocar;manifester Frites SUV;jeter Béton Sud;Couronne Jeux Bronze;Coton Électrique prairie;Victoire14@gmail.com;Générique;Béton;ACTIF
5;Rustique Plastique Plein;Bois Lofi Homme;Essence doter Ouest;magnifique Account maxime;Ouest dépôt Équateur;Anthelmette_Lambert@yahoo.fr;ça paiement Recyclé;Thon Génial Nauru;PREMIUM
6;Nord facture Est;avant Dalasi Administrateur;retrait;Alsace;Manager contrarier clac;Aymeric_Dufour@yahoo.fr;Ouest retrait Dollar;Plastique Delesseux bang;INACTIF
7;Gambie snob Électrique;glouglou;Incroyable;Ordinateur spécialiste Femme;timide Femme Homme;Olivier_Paul63@yahoo.fr;Sud;au Raffiné;ACTIF
8;Diesel praesentium Folk;Électronique Corse Outils;Chaise candide;Folk triathlète Le;Générique Country;Rachid.Pons@yahoo.fr;marocain retrait;Rue brave dépôt;PREMIUM
9;Incroyable;Quetzal bzzz Homme;ralentir main Naira;Pop voile Îles;Homme recusandae Tandem;Romuald83@yahoo.fr;lime mairie Caoutchouc;Hybride;PREMIUM
10;Vélo;multiple Ouest dépôt;soluta Recyclé;Molière large Savoureux;souvent Électronique;Christiane_Robert@gmail.com;mexicain;jamais Charlemagne Homme;INACTIF
